department,url
college of business administration,https://www.savannahstate.edu/coba/index.shtml
accounting,https://www.savannahstate.edu/coba/programs/accounting.shtml
"Computer Information Systems, Logistics and Supply Chain (CILS)",https://www.savannahstate.edu/coba/programs/comp-info-sys.shtml
management,https://www.savannahstate.edu/coba/programs/management.shtml
marketing,https://www.savannahstate.edu/coba/programs/marketing.shtml
financial technologies,https://www.savannahstate.edu/coba/programs/fin-tech.shtml
master of business administration,https://www.savannahstate.edu/graduate/master-degrees/degrees-grad-ba.shtml
college of liberal arts and social sciences,https://www.savannahstate.edu/class/index.shtml
"department of english, languages, and cultures",https://www.savannahstate.edu/class/departments/english-and-languages/index.shtml
"department of fine arts, humanities, and wellness",https://www.savannahstate.edu/class/departments/fine-arts/index.shtml
department of journalism and mass communications,https://www.savannahstate.edu/class/departments/mass-communications/index.shtml
department of political science and public affairs,https://www.savannahstate.edu/class/departments/political-science/index.shtml
department of social and behavioral sciences,https://www.savannahstate.edu/class/departments/social-science/index.shtml
department of social work,https://www.savannahstate.edu/class/departments/social-work/index.shtml
college of sciences and technology,https://www.savannahstate.edu/cost/index.shtml
department of biology,https://www.savannahstate.edu/cost/biology/index.shtml
department of chemistry and forensic science,https://www.savannahstate.edu/cost/chem-forensic-science/index.shtml
department of engineering technology,https://www.savannahstate.edu/cost/eng-tech/index.shtml
department of marine and environmental sciences,https://www.savannahstate.edu/cost/mar-env-science/index.shtml
department of mathematics,https://www.savannahstate.edu/cost/math/index.shtml
army reserve officer training corps,https://www.savannahstate.edu/cost/arotc/index.shtml
department of naval science,https://www.savannahstate.edu/cost/nrotc/index.shtml
college of education,https://www.savannahstate.edu/coe/index.shtml
department of teacher education,https://www.savannahstate.edu/coe/department-of-teacher-education/index.shtml
home,https://www.savannahstate.edu/
